Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
OCO,1.0,,SOFT,1.0,1,29.4,32.7,79.0,1007.2,1.3,184
OCO,2.0,92.635,SOFT,1.0,1,29.4,32.5,79.0,1007.2,1.5,183
OCO,3.0,122.794,SOFT,1.0,1,29.4,32.5,79.0,1007.3,1.3,192
OCO,4.0,,SOFT,2.0,1,29.4,32.4,79.0,1007.3,1.3,199
OCO,5.0,91.25,SOFT,2.0,1,29.5,32.7,79.0,1007.2,1.2,195
OCO,6.0,,SOFT,2.0,1,29.5,32.7,79.0,1007.2,1.4,186
OCO,7.0,,SOFT,3.0,1,29.4,32.4,79.0,1007.2,1.2,187
OCO,8.0,90.958,SOFT,3.0,1,29.4,32.3,79.0,1007.2,1.3,194
OCO,9.0,128.699,SOFT,3.0,1,29.4,32.3,80.0,1007.1,1.1,193
OCO,10.0,,SOFT,4.0,1,29.4,32.4,79.0,1007.2,1.2,177
OCO,11.0,91.683,SOFT,4.0,1,29.4,32.4,79.0,1007.2,1.4,187
OCO,12.0,124.4,SOFT,4.0,1,29.4,32.4,79.0,1007.2,1.3,189
OCO,13.0,,SOFT,5.0,1,29.4,32.5,79.0,1007.2,1.4,198
OCO,14.0,90.769,SOFT,5.0,1,29.4,32.5,79.0,1007.2,1.3,194
OCO,15.0,133.727,SOFT,5.0,1,29.5,32.4,79.0,1007.2,1.3,189
