Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
HAM,1.0,102.702,SOFT,1.0,1,31.0,37.6,74.0,1006.9,0.6,0
HAM,2.0,98.853,SOFT,1.0,1,30.9,37.7,74.0,1007.0,0.0,258
HAM,3.0,99.254,SOFT,1.0,1,30.9,37.9,74.0,1007.0,1.1,300
HAM,4.0,99.068,SOFT,1.0,1,30.9,37.9,75.0,1007.0,0.8,28
HAM,5.0,98.294,SOFT,1.0,1,30.8,38.0,75.0,1007.1,0.3,287
HAM,6.0,98.271,SOFT,1.0,1,30.8,38.5,75.0,1007.1,0.8,219
HAM,7.0,98.38,SOFT,1.0,1,30.8,38.2,74.0,1007.0,1.0,217
HAM,8.0,98.246,SOFT,1.0,1,30.8,37.6,75.0,1007.1,0.7,167
HAM,9.0,98.027,SOFT,1.0,1,30.7,37.5,75.0,1007.1,0.6,0
HAM,10.0,98.309,SOFT,1.0,1,30.7,37.3,75.0,1007.1,0.0,269
HAM,11.0,97.916,SOFT,1.0,1,30.7,37.4,75.0,1007.1,0.5,282
HAM,12.0,97.984,SOFT,1.0,1,30.7,37.7,75.0,1007.1,0.5,135
HAM,13.0,98.102,SOFT,1.0,1,30.8,37.7,75.0,1007.1,0.6,110
HAM,14.0,98.174,SOFT,1.0,1,30.7,38.3,75.0,1007.1,0.7,208
HAM,15.0,98.287,SOFT,1.0,1,30.7,38.5,75.0,1007.2,0.6,138
HAM,16.0,99.044,SOFT,1.0,1,30.8,38.2,75.0,1007.3,1.0,204
HAM,17.0,106.862,SOFT,1.0,1,30.7,37.8,75.0,1007.2,0.8,212
HAM,18.0,118.708,HARD,2.0,1,30.9,38.2,74.0,1007.2,0.9,179
HAM,19.0,98.202,HARD,2.0,1,31.0,38.5,74.0,1007.2,0.7,179
HAM,20.0,98.745,HARD,2.0,1,31.0,38.1,73.0,1007.2,0.5,154
HAM,21.0,98.916,HARD,2.0,1,31.0,37.9,74.0,1007.3,0.8,0
HAM,22.0,98.194,HARD,2.0,1,31.0,37.9,74.0,1007.2,0.7,163
HAM,23.0,98.396,HARD,2.0,1,31.1,37.9,74.0,1007.2,0.8,218
HAM,24.0,98.352,HARD,2.0,1,31.1,37.8,74.0,1007.2,1.0,180
HAM,25.0,100.158,HARD,2.0,1,31.1,38.1,74.0,1007.2,0.9,161
