Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
SAI,1.0,,HARD,1.0,1,27.5,46.3,37.0,1004.3,0.0,93
SAI,2.0,77.143,HARD,1.0,1,27.5,46.4,36.0,1004.5,0.0,0
SAI,3.0,77.319,HARD,1.0,1,27.5,47.3,36.0,1004.5,2.3,241
SAI,4.0,106.047,HARD,1.0,1,27.6,47.5,34.0,1004.4,2.0,226
SAI,5.0,97.707,HARD,1.0,1,27.7,46.4,35.0,1004.4,2.0,242
SAI,6.0,75.899,HARD,1.0,1,27.7,46.4,34.0,1004.5,2.1,252
SAI,7.0,117.709,HARD,1.0,1,27.6,45.8,34.0,1004.5,1.8,235
SAI,8.0,76.114,HARD,1.0,1,27.5,45.3,35.0,1004.5,3.2,238
SAI,9.0,122.138,HARD,1.0,1,27.6,45.7,35.0,1004.4,2.0,230
SAI,10.0,92.951,HARD,1.0,1,27.6,46.0,34.0,1004.5,1.5,236
SAI,11.0,81.732,HARD,1.0,1,27.6,46.0,36.0,1004.5,1.0,249
SAI,12.0,,MEDIUM,2.0,1,27.7,46.0,34.0,1004.5,2.5,234
SAI,13.0,74.572,MEDIUM,2.0,1,27.8,45.8,34.0,1004.5,2.0,239
SAI,14.0,120.0,MEDIUM,2.0,1,27.7,45.7,34.0,1004.4,0.7,251
SAI,15.0,,MEDIUM,3.0,1,27.6,45.9,35.0,1004.4,1.1,231
SAI,16.0,82.057,MEDIUM,3.0,1,27.5,46.1,35.0,1004.5,1.8,245
SAI,17.0,,HARD,4.0,1,27.5,46.5,35.0,1004.4,2.2,234
SAI,18.0,122.192,MEDIUM,5.0,1,27.9,46.9,34.0,1004.4,2.4,235
SAI,19.0,78.816,MEDIUM,5.0,1,28.0,47.5,34.0,1004.5,2.8,228
SAI,20.0,79.391,MEDIUM,5.0,1,28.0,47.5,34.0,1004.5,2.8,228
SAI,21.0,79.744,MEDIUM,5.0,1,28.2,47.5,34.0,1004.5,2.8,228
SAI,22.0,79.669,MEDIUM,5.0,1,28.3,47.5,33.0,1004.5,2.2,237
SAI,23.0,79.812,MEDIUM,5.0,1,28.4,47.0,32.0,1004.5,2.2,228
SAI,24.0,91.876,MEDIUM,5.0,1,28.4,46.8,30.0,1004.5,2.8,259
SAI,25.0,79.954,MEDIUM,5.0,1,28.4,46.9,32.0,1004.5,1.3,0
SAI,26.0,80.404,MEDIUM,5.0,1,28.4,47.3,31.0,1004.6,1.8,236
SAI,27.0,80.385,MEDIUM,5.0,1,28.5,47.3,30.0,1004.6,3.0,245
SAI,28.0,80.577,MEDIUM,5.0,1,28.5,46.8,29.0,1004.6,2.9,237
SAI,29.0,80.873,MEDIUM,5.0,1,28.3,46.7,30.0,1004.5,2.4,235
SAI,30.0,132.67,MEDIUM,5.0,1,28.4,46.5,30.0,1004.6,2.8,242
SAI,31.0,129.011,MEDIUM,5.0,1,28.5,46.9,31.0,1004.6,1.7,264
