Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
LEC,1.0,,SOFT,1.0,1,24.0,37.5,67.0,1003.8,0.8,5
LEC,2.0,72.257,SOFT,1.0,1,24.0,37.7,68.0,1003.9,1.8,162
LEC,3.0,99.097,SOFT,1.0,1,24.1,37.9,68.0,1003.8,1.2,245
LEC,4.0,,SOFT,2.0,1,24.2,37.7,68.0,1003.8,2.5,279
LEC,5.0,72.038,SOFT,2.0,1,24.2,37.6,68.0,1003.8,1.4,284
LEC,6.0,92.084,SOFT,2.0,1,24.2,37.1,69.0,1003.8,1.4,0
LEC,7.0,,SOFT,3.0,1,24.1,37.6,68.0,1003.8,1.0,311
LEC,8.0,71.949,SOFT,3.0,1,24.1,38.0,68.0,1003.9,1.3,290
LEC,9.0,88.473,SOFT,3.0,1,24.2,38.0,68.0,1003.9,1.6,223
LEC,10.0,,SOFT,4.0,1,24.4,37.6,68.0,1003.8,1.0,287
LEC,11.0,71.731,SOFT,4.0,12,24.4,37.6,67.0,1003.9,1.4,256
LEC,12.0,,SOFT,4.0,1,24.4,37.5,68.0,1003.8,1.7,226
