Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
HUL,1.0,87.97,SOFT,1.0,1,23.9,39.1,63.0,1001.8,2.7,244
HUL,2.0,82.084,SOFT,1.0,1,23.9,39.1,62.0,1001.7,2.4,246
HUL,3.0,81.383,SOFT,1.0,1,23.9,39.9,63.0,1001.8,2.7,237
HUL,4.0,81.949,SOFT,1.0,1,24.3,40.1,63.0,1001.7,3.6,238
HUL,5.0,81.858,SOFT,1.0,1,24.3,40.1,63.0,1001.8,3.1,240
HUL,6.0,81.545,SOFT,1.0,1,24.2,40.1,62.0,1001.7,4.3,235
HUL,7.0,81.698,SOFT,1.0,1,24.4,40.1,63.0,1001.7,3.3,230
HUL,8.0,81.841,SOFT,1.0,1,24.4,40.1,64.0,1001.7,2.8,263
HUL,9.0,81.629,SOFT,1.0,1,24.3,40.2,63.0,1001.7,2.9,271
HUL,10.0,81.852,SOFT,1.0,1,24.1,40.2,63.0,1001.7,2.7,234
HUL,11.0,81.994,SOFT,1.0,1,24.1,40.4,64.0,1001.7,3.0,244
HUL,12.0,87.477,SOFT,1.0,1,24.2,40.8,63.0,1001.7,2.4,257
HUL,13.0,100.395,MEDIUM,2.0,1,24.3,40.8,64.0,1001.7,2.7,250
HUL,14.0,80.698,MEDIUM,2.0,1,24.2,40.8,64.0,1001.7,3.4,234
HUL,15.0,80.312,MEDIUM,2.0,1,24.2,41.7,64.0,1001.7,3.7,242
HUL,16.0,81.125,MEDIUM,2.0,1,24.1,41.2,64.0,1001.6,2.8,249
HUL,17.0,81.428,MEDIUM,2.0,1,24.2,40.9,65.0,1001.5,3.5,234
HUL,18.0,80.756,MEDIUM,2.0,1,24.2,40.7,65.0,1001.5,3.6,235
HUL,19.0,81.174,MEDIUM,2.0,1,24.2,40.7,65.0,1001.5,3.6,233
HUL,20.0,81.137,MEDIUM,2.0,1,24.3,41.0,66.0,1001.6,3.0,251
HUL,21.0,81.205,MEDIUM,2.0,1,24.3,41.0,64.0,1001.6,3.6,256
HUL,22.0,82.174,MEDIUM,2.0,1,24.2,40.6,66.0,1001.6,2.9,255
HUL,23.0,81.627,MEDIUM,2.0,1,24.3,40.6,65.0,1001.6,3.7,244
HUL,24.0,80.907,MEDIUM,2.0,1,24.2,40.4,65.0,1001.6,3.7,238
HUL,25.0,81.053,MEDIUM,2.0,1,24.1,40.4,64.0,1001.6,3.1,257
HUL,26.0,80.972,MEDIUM,2.0,1,24.0,40.3,63.0,1001.7,3.1,250
HUL,27.0,81.42,MEDIUM,2.0,1,24.0,40.5,64.0,1001.6,3.1,219
HUL,28.0,81.09,MEDIUM,2.0,1,24.2,40.9,66.0,1001.6,2.2,217
HUL,29.0,80.979,MEDIUM,2.0,1,24.3,40.9,65.0,1001.6,3.8,248
HUL,30.0,81.198,MEDIUM,2.0,1,24.2,40.4,64.0,1001.6,3.6,245
HUL,31.0,81.314,MEDIUM,2.0,1,24.0,40.3,66.0,1001.6,3.7,236
HUL,32.0,81.445,MEDIUM,2.0,1,24.0,41.3,66.0,1001.6,2.2,243
