Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
BOT,1.0,,MEDIUM,1.0,1,26.0,49.7,50.0,928.3,0.7,9
BOT,2.0,75.617,MEDIUM,1.0,1,25.8,49.7,51.0,928.3,0.0,166
BOT,3.0,115.101,MEDIUM,1.0,1,25.8,50.3,52.0,928.3,0.5,0
BOT,4.0,74.427,MEDIUM,1.0,1,25.8,50.8,51.0,928.4,0.0,108
BOT,5.0,95.035,MEDIUM,1.0,1,25.8,51.3,50.0,928.3,0.6,25
BOT,6.0,,MEDIUM,2.0,1,25.9,51.6,49.0,928.2,1.2,81
BOT,7.0,74.23,MEDIUM,2.0,1,26.0,51.8,48.0,928.3,0.6,272
BOT,8.0,102.513,MEDIUM,2.0,1,26.1,51.8,49.0,928.2,0.4,254
BOT,9.0,73.31,MEDIUM,2.0,1,26.3,51.1,52.0,928.2,1.1,198
BOT,10.0,95.428,MEDIUM,2.0,1,26.4,51.1,53.0,928.1,1.8,0
BOT,11.0,73.282,MEDIUM,2.0,1,26.4,51.5,54.0,928.1,0.6,167
BOT,12.0,86.203,MEDIUM,2.0,1,26.3,51.9,53.0,928.2,1.0,207
BOT,13.0,133.294,MEDIUM,3.0,1,26.4,52.0,53.0,928.2,0.7,135
BOT,14.0,75.117,MEDIUM,3.0,1,26.4,52.0,52.0,928.2,0.6,157
BOT,15.0,75.871,MEDIUM,3.0,1,26.4,52.6,53.0,928.2,0.8,159
BOT,16.0,76.03,MEDIUM,3.0,1,26.4,52.6,53.0,928.1,0.6,0
BOT,17.0,76.104,MEDIUM,3.0,1,26.4,52.5,53.0,928.1,0.7,176
BOT,18.0,75.606,MEDIUM,3.0,1,26.3,52.1,53.0,928.2,1.4,135
BOT,19.0,75.551,MEDIUM,3.0,1,26.1,52.8,54.0,928.2,0.8,212
BOT,20.0,75.543,MEDIUM,3.0,1,26.0,53.1,53.0,928.2,1.2,187
BOT,21.0,80.707,MEDIUM,3.0,1,26.1,53.2,54.0,928.1,1.4,175
BOT,22.0,,SOFT,4.0,1,26.1,53.2,54.0,928.2,1.4,195
BOT,23.0,72.568,SOFT,4.0,1,26.1,53.0,54.0,928.2,1.8,290
BOT,24.0,110.522,SOFT,4.0,1,26.1,52.4,53.0,928.1,0.7,322
BOT,25.0,112.141,SOFT,5.0,1,26.1,52.4,53.0,928.2,0.4,186
BOT,26.0,71.651,SOFT,5.0,1,26.1,52.7,53.0,928.1,0.4,86
BOT,27.0,99.694,SOFT,5.0,1,26.1,52.7,54.0,928.1,0.6,27
BOT,28.0,126.023,SOFT,5.0,1,26.1,53.2,53.0,928.2,0.7,339
BOT,29.0,91.307,SOFT,5.0,1,26.0,53.8,52.0,928.1,1.1,80
