Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
LEC,1.0,,WET,1.0,12,19.9,22.3,95.0,927.5,0.6,229
LEC,2.0,92.986,WET,1.0,12,19.9,22.2,95.0,927.5,0.6,185
LEC,3.0,97.652,WET,1.0,12,19.9,22.2,95.0,927.4,0.7,213
LEC,4.0,98.335,WET,1.0,1,19.9,22.3,95.0,927.4,0.6,0
LEC,5.0,89.839,WET,1.0,12,19.9,22.3,95.0,927.5,0.5,197
LEC,6.0,,WET,1.0,251,19.9,22.5,95.0,927.4,0.4,174
LEC,7.0,,WET,2.0,1,19.8,22.6,95.0,927.4,0.7,168
LEC,8.0,94.48,WET,2.0,1,19.9,22.5,95.0,927.4,0.0,197
LEC,9.0,96.323,WET,2.0,1,19.9,22.1,95.0,927.3,0.8,12
LEC,10.0,91.157,WET,2.0,12,19.8,22.1,95.0,927.4,0.7,22
LEC,11.0,102.721,WET,2.0,1,19.8,22.2,94.0,927.4,1.1,34
LEC,12.0,,WET,3.0,1,19.8,22.3,95.0,927.4,0.7,1
LEC,13.0,89.332,WET,3.0,1,19.9,22.3,95.0,927.3,1.7,33
LEC,14.0,112.759,WET,3.0,1,19.8,22.6,95.0,927.5,1.5,24
LEC,15.0,94.723,WET,3.0,12,19.8,23.0,93.0,927.5,0.8,41
LEC,16.0,123.857,INTERMEDIATE,4.0,21,19.8,23.1,94.0,927.4,0.8,30
LEC,17.0,,INTERMEDIATE,4.0,251,19.8,23.2,94.0,927.5,1.0,40
LEC,18.0,,INTERMEDIATE,5.0,1,19.8,23.1,94.0,927.5,1.7,40
LEC,19.0,86.097,INTERMEDIATE,5.0,12,19.9,23.0,94.0,927.5,0.9,18
LEC,20.0,,INTERMEDIATE,5.0,251,19.9,23.1,93.0,927.4,0.5,342
LEC,21.0,,INTERMEDIATE,6.0,1,19.8,23.1,93.0,927.5,0.5,347
LEC,22.0,86.018,INTERMEDIATE,6.0,1,19.8,23.4,93.0,927.5,0.3,272
LEC,23.0,,INTERMEDIATE,6.0,125,19.8,23.5,92.0,927.5,0.4,0
LEC,24.0,,INTERMEDIATE,7.0,1,19.8,23.1,93.0,927.6,1.5,4
LEC,25.0,,INTERMEDIATE,7.0,125,19.9,22.4,92.0,927.5,1.3,34
LEC,26.0,,INTERMEDIATE,8.0,1,20.0,22.4,92.0,927.6,1.2,18
LEC,27.0,88.755,INTERMEDIATE,8.0,1,20.0,22.6,92.0,927.6,1.0,37
LEC,28.0,84.525,INTERMEDIATE,8.0,1,20.0,22.7,92.0,927.5,0.9,27
LEC,29.0,,INTERMEDIATE,8.0,1,20.1,22.8,93.0,927.6,0.8,17
