Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
TSU,1.0,93.749,INTERMEDIATE,1.0,12,22.2,27.3,86.0,927.4,0.4,0
TSU,2.0,86.351,INTERMEDIATE,1.0,1,22.3,26.2,87.0,927.3,0.0,191
TSU,3.0,86.018,INTERMEDIATE,1.0,1,22.1,26.4,86.0,927.4,0.8,182
TSU,4.0,85.425,INTERMEDIATE,1.0,12,22.1,26.4,87.0,927.4,0.5,210
TSU,5.0,85.429,INTERMEDIATE,1.0,1,22.1,26.2,87.0,927.3,0.4,0
TSU,6.0,84.903,INTERMEDIATE,1.0,1,22.1,26.2,87.0,927.4,0.0,215
TSU,7.0,85.024,INTERMEDIATE,1.0,1,22.2,26.4,88.0,927.3,0.8,205
TSU,8.0,85.28,INTERMEDIATE,1.0,1,22.0,26.4,86.0,927.4,0.9,242
TSU,9.0,84.832,INTERMEDIATE,1.0,1,22.1,26.4,87.0,927.3,0.8,210
TSU,10.0,84.592,INTERMEDIATE,1.0,1,22.3,26.5,88.0,927.3,0.5,240
TSU,11.0,84.953,INTERMEDIATE,1.0,12,22.2,26.8,87.0,927.2,0.6,216
TSU,12.0,84.877,INTERMEDIATE,1.0,21,22.2,26.9,87.0,927.2,0.7,208
TSU,13.0,85.172,INTERMEDIATE,1.0,1,22.3,27.2,87.0,927.3,0.6,201
TSU,14.0,84.827,INTERMEDIATE,1.0,1,22.2,27.4,87.0,927.2,1.0,234
TSU,15.0,84.635,INTERMEDIATE,1.0,1,22.3,27.4,88.0,927.3,0.7,179
TSU,16.0,84.762,INTERMEDIATE,1.0,1,22.3,27.4,87.0,927.2,0.7,195
TSU,17.0,84.724,INTERMEDIATE,1.0,1,22.4,27.9,87.0,927.2,0.6,227
TSU,18.0,84.547,INTERMEDIATE,1.0,1,22.4,27.7,87.0,927.1,0.4,339
TSU,19.0,84.275,INTERMEDIATE,1.0,1,22.5,27.6,87.0,927.2,0.5,348
TSU,20.0,84.163,INTERMEDIATE,1.0,1,22.6,27.7,87.0,927.1,0.0,313
TSU,21.0,84.179,INTERMEDIATE,1.0,1,22.6,27.8,88.0,927.2,0.4,317
