Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
VER,1.0,,MEDIUM,1.0,1,27.1,39.0,53.0,928.5,2.2,36
VER,2.0,72.311,MEDIUM,1.0,1,27.2,39.0,53.0,928.5,1.8,18
VER,3.0,72.454,MEDIUM,1.0,1,27.1,40.0,52.0,928.6,1.7,9
VER,4.0,72.561,MEDIUM,1.0,1,27.3,40.2,52.0,928.6,1.5,34
VER,5.0,72.304,MEDIUM,1.0,1,27.2,40.4,52.0,928.6,1.5,85
VER,6.0,71.906,MEDIUM,1.0,1,27.1,40.7,52.0,928.6,0.7,33
VER,7.0,72.13,MEDIUM,1.0,1,27.1,40.7,51.0,928.5,1.0,46
VER,8.0,72.409,MEDIUM,1.0,1,27.3,40.9,52.0,928.6,1.9,38
VER,9.0,72.589,MEDIUM,1.0,1,27.3,41.1,52.0,928.6,2.4,45
VER,10.0,72.17,MEDIUM,1.0,1,27.4,41.1,52.0,928.6,1.5,40
VER,11.0,72.304,MEDIUM,1.0,1,27.3,41.3,52.0,928.5,2.6,26
VER,12.0,72.328,MEDIUM,1.0,1,27.4,41.2,52.0,928.5,2.7,15
VER,13.0,72.785,MEDIUM,1.0,1,27.5,41.4,52.0,928.4,1.9,57
VER,14.0,72.204,MEDIUM,1.0,1,27.5,42.3,52.0,928.5,0.9,39
VER,15.0,72.256,MEDIUM,1.0,1,27.6,42.3,51.0,928.6,1.9,41
VER,16.0,72.335,MEDIUM,1.0,1,27.8,42.3,51.0,928.4,1.9,46
VER,17.0,72.046,MEDIUM,1.0,1,27.7,42.6,51.0,928.4,0.6,45
VER,18.0,71.852,MEDIUM,1.0,1,27.7,43.0,51.0,928.4,1.4,49
VER,19.0,72.679,MEDIUM,1.0,1,27.8,43.3,51.0,928.5,1.6,55
VER,20.0,72.367,MEDIUM,1.0,1,27.9,43.8,51.0,928.4,1.1,321
VER,21.0,72.523,MEDIUM,1.0,12,27.9,44.2,51.0,928.4,1.0,42
VER,22.0,82.646,MEDIUM,1.0,26,27.9,44.4,51.0,928.5,1.1,50
VER,23.0,102.677,MEDIUM,1.0,6,27.9,45.0,50.0,928.4,1.7,29
VER,24.0,76.975,MEDIUM,1.0,671,27.9,44.1,50.0,928.4,1.7,26
