Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
LEC,1.0,,MEDIUM,1.0,1,22.3,45.8,71.0,926.5,1.4,165
LEC,2.0,71.654,MEDIUM,1.0,1,22.4,45.8,71.0,926.4,1.6,184
LEC,3.0,106.922,MEDIUM,1.0,1,22.4,46.2,72.0,926.5,2.4,199
LEC,4.0,99.452,MEDIUM,1.0,1,22.3,46.2,73.0,926.5,1.9,182
LEC,5.0,70.453,MEDIUM,1.0,1,22.3,46.1,73.0,926.4,1.3,208
LEC,6.0,104.83,MEDIUM,1.0,1,22.3,44.8,73.0,926.6,1.5,188
LEC,7.0,103.249,MEDIUM,1.0,1,22.2,44.0,74.0,926.5,1.5,151
LEC,8.0,70.388,MEDIUM,1.0,1,22.1,43.3,74.0,926.5,1.8,190
LEC,9.0,93.909,MEDIUM,1.0,1,22.0,43.2,75.0,926.6,1.6,165
LEC,10.0,,MEDIUM,2.0,1,22.2,42.7,74.0,926.6,1.4,182
LEC,11.0,69.719,MEDIUM,2.0,1,22.0,42.1,75.0,926.6,2.3,196
LEC,12.0,96.869,MEDIUM,2.0,1,21.9,42.0,75.0,926.6,1.9,234
LEC,13.0,,MEDIUM,3.0,1,21.9,41.9,75.0,926.8,1.5,188
LEC,14.0,69.248,MEDIUM,3.0,1,21.9,41.4,74.0,926.7,2.2,192
LEC,15.0,102.015,MEDIUM,3.0,1,21.9,41.2,75.0,926.7,2.1,207
LEC,16.0,,SOFT,4.0,1,21.8,40.4,75.0,926.8,2.6,187
LEC,17.0,69.153,SOFT,4.0,1,21.7,39.6,76.0,926.8,2.2,178
LEC,18.0,102.121,SOFT,4.0,1,21.6,39.9,77.0,926.7,2.3,190
