Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
ALB,1.0,,HARD,1.0,1,23.5,33.9,56.0,1004.9,3.1,168
ALB,2.0,99.401,HARD,1.0,1,23.6,33.9,56.0,1005.0,3.5,168
ALB,3.0,134.876,HARD,1.0,1,23.7,35.4,56.0,1004.9,4.8,156
ALB,4.0,96.868,HARD,1.0,1,23.8,35.5,56.0,1004.8,4.2,142
ALB,5.0,140.373,HARD,1.0,1,24.0,36.2,56.0,1004.8,3.3,144
ALB,6.0,121.169,HARD,1.0,12,24.0,36.2,56.0,1004.8,3.5,165
ALB,7.0,101.982,HARD,1.0,1,24.1,35.6,55.0,1004.8,4.2,162
ALB,8.0,142.401,HARD,1.0,1,24.3,35.8,56.0,1004.8,5.2,151
ALB,9.0,124.653,HARD,1.0,12,24.4,36.3,55.0,1004.7,5.4,168
ALB,10.0,98.01,HARD,1.0,1,24.4,36.5,55.0,1004.8,4.3,160
ALB,11.0,,HARD,2.0,1,24.5,37.1,54.0,1004.8,4.4,157
ALB,12.0,99.075,HARD,2.0,1,24.6,37.5,54.0,1004.8,3.8,143
ALB,13.0,98.872,HARD,2.0,1,24.8,37.6,54.0,1004.7,3.5,155
ALB,14.0,98.454,HARD,2.0,1,24.8,37.8,54.0,1004.7,4.3,174
ALB,15.0,98.97,HARD,2.0,1,24.8,37.8,54.0,1004.7,3.9,152
ALB,16.0,98.52,HARD,2.0,1,24.8,37.8,54.0,1004.7,4.4,174
ALB,17.0,100.255,HARD,2.0,1,24.8,37.8,54.0,1004.6,5.2,169
ALB,18.0,,SOFT,3.0,1,24.9,37.9,54.0,1004.6,3.3,150
ALB,19.0,122.777,SOFT,3.0,1,24.9,38.2,54.0,1004.5,3.8,163
ALB,20.0,141.735,SOFT,3.0,1,24.8,38.3,53.0,1004.6,3.1,175
ALB,21.0,94.618,SOFT,3.0,1,24.8,38.6,53.0,1004.6,1.8,182
ALB,22.0,145.151,SOFT,3.0,167,25.0,38.6,53.0,1004.6,3.0,168
ALB,23.0,,HARD,4.0,1,25.1,38.7,53.0,1004.6,3.0,177
ALB,24.0,,HARD,5.0,1,25.1,37.7,53.0,1004.5,3.7,168
ALB,25.0,131.706,HARD,5.0,12,25.0,37.3,54.0,1004.5,3.3,142
ALB,26.0,,HARD,5.0,12,25.1,37.8,53.0,1004.5,2.5,166
