Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
HUL,1.0,,SOFT,1.0,1,28.5,39.2,40.0,1005.5,2.0,176
HUL,2.0,93.87,SOFT,1.0,1,28.5,39.2,41.0,1005.6,2.4,180
HUL,3.0,120.914,SOFT,1.0,1,28.5,39.2,41.0,1005.6,1.8,169
HUL,4.0,,SOFT,2.0,1,28.5,39.1,41.0,1005.5,2.1,170
HUL,5.0,93.601,SOFT,2.0,1,28.4,39.0,41.0,1005.6,1.3,186
HUL,6.0,123.885,SOFT,2.0,1,28.4,39.1,40.0,1005.5,1.8,158
HUL,7.0,,SOFT,3.0,1,28.5,39.0,40.0,1005.6,1.9,141
HUL,8.0,93.544,SOFT,3.0,1,28.4,38.9,40.0,1005.6,2.8,176
HUL,9.0,124.322,SOFT,3.0,1,28.5,38.8,40.0,1005.6,2.8,181
HUL,10.0,,SOFT,4.0,1,28.5,38.7,40.0,1005.5,2.0,174
HUL,11.0,93.652,SOFT,4.0,1,28.5,38.6,40.0,1005.5,2.6,158
HUL,12.0,120.753,SOFT,4.0,1,28.5,38.5,40.0,1005.5,2.6,159
