Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
ALO,1.0,106.421,MEDIUM,1.0,12,26.8,44.7,41.0,1008.0,1.1,105
ALO,2.0,102.72,MEDIUM,1.0,12,26.8,44.6,41.0,1007.9,0.9,316
ALO,3.0,133.66,MEDIUM,1.0,24,26.7,44.5,40.0,1007.9,1.1,198
ALO,4.0,149.599,MEDIUM,1.0,4,26.7,44.4,41.0,1007.8,1.8,299
ALO,5.0,,MEDIUM,1.0,41,26.7,44.4,41.0,1008.0,0.6,192
ALO,6.0,103.042,MEDIUM,1.0,1,26.7,44.5,40.0,1007.9,1.2,310
ALO,7.0,102.409,MEDIUM,1.0,1,26.7,44.4,41.0,1007.9,1.8,315
ALO,8.0,101.508,MEDIUM,1.0,1,26.7,44.4,41.0,1007.8,0.9,312
ALO,9.0,101.975,MEDIUM,1.0,1,26.7,44.3,41.0,1007.8,1.4,311
ALO,10.0,101.928,MEDIUM,1.0,12,26.8,44.1,42.0,1007.8,1.3,277
ALO,11.0,103.326,MEDIUM,1.0,1,27.0,44.3,41.0,1007.8,0.7,189
ALO,12.0,101.701,MEDIUM,1.0,1,27.2,45.1,40.0,1007.7,1.3,147
ALO,13.0,101.687,MEDIUM,1.0,1,27.3,45.2,38.0,1007.7,2.5,170
ALO,14.0,101.706,MEDIUM,1.0,1,27.2,45.1,39.0,1007.7,2.5,170
ALO,15.0,101.53,MEDIUM,1.0,1,27.1,45.1,39.0,1007.7,3.8,177
ALO,16.0,101.681,MEDIUM,1.0,1,27.2,45.4,38.0,1007.7,4.1,174
ALO,17.0,102.424,MEDIUM,1.0,1,27.4,45.5,38.0,1007.6,3.7,179
ALO,18.0,101.238,MEDIUM,1.0,1,27.5,45.3,39.0,1007.6,4.2,166
ALO,19.0,101.677,MEDIUM,1.0,1,27.5,45.4,38.0,1007.5,3.3,173
ALO,20.0,101.585,MEDIUM,1.0,1,27.5,45.4,38.0,1007.5,2.9,191
ALO,21.0,101.297,MEDIUM,1.0,1,27.3,45.5,38.0,1007.5,2.7,173
ALO,22.0,102.707,MEDIUM,1.0,1,27.2,45.7,39.0,1007.5,3.2,177
ALO,23.0,101.766,MEDIUM,1.0,1,27.2,46.1,39.0,1007.5,2.1,75
ALO,24.0,101.879,MEDIUM,1.0,1,27.3,46.2,38.0,1007.4,1.0,209
ALO,25.0,101.614,MEDIUM,1.0,1,27.2,46.2,38.0,1007.4,1.7,227
ALO,26.0,102.193,MEDIUM,1.0,1,27.2,45.8,38.0,1007.4,1.0,241
ALO,27.0,120.837,HARD,2.0,1,27.3,45.7,38.0,1007.4,0.6,187
ALO,28.0,100.478,HARD,2.0,1,27.3,45.6,38.0,1007.3,1.1,261
ALO,29.0,100.48,HARD,2.0,1,27.3,45.6,38.0,1007.3,1.3,324
ALO,30.0,100.21,HARD,2.0,1,27.2,45.9,38.0,1007.4,0.9,91
ALO,31.0,100.133,HARD,2.0,1,27.3,46.4,38.0,1007.3,0.9,181
ALO,32.0,100.6,HARD,2.0,1,27.3,46.4,37.0,1007.3,1.7,217
ALO,33.0,100.556,HARD,2.0,1,27.4,46.4,38.0,1007.3,1.3,195
ALO,34.0,100.285,HARD,2.0,1,27.3,46.3,38.0,1007.2,1.0,213
ALO,35.0,101.231,HARD,2.0,1,27.3,46.2,38.0,1007.2,1.3,288
ALO,36.0,100.213,HARD,2.0,1,27.3,46.0,38.0,1007.2,1.2,291
ALO,37.0,100.61,HARD,2.0,1,27.2,46.0,38.0,1007.1,2.3,308
ALO,38.0,100.14,HARD,2.0,1,27.1,45.7,39.0,1007.2,1.4,315
ALO,39.0,100.079,HARD,2.0,1,27.1,45.7,39.0,1007.2,1.2,7
ALO,40.0,99.927,HARD,2.0,1,27.3,45.7,39.0,1007.2,1.1,0
ALO,41.0,101.035,HARD,2.0,12,27.4,46.0,38.0,1007.1,1.0,279
ALO,42.0,99.445,HARD,2.0,1,27.5,46.0,38.0,1007.1,1.0,339
ALO,43.0,99.554,HARD,2.0,1,27.4,46.0,38.0,1007.1,1.7,329
ALO,44.0,99.452,HARD,2.0,1,27.6,45.7,38.0,1007.1,1.2,303
ALO,45.0,99.999,HARD,2.0,1,27.7,46.5,38.0,1007.0,1.2,235
ALO,46.0,99.54,HARD,2.0,1,27.7,46.7,38.0,1007.0,1.2,215
ALO,47.0,99.533,HARD,2.0,1,27.5,46.5,38.0,1007.0,1.3,197
ALO,48.0,99.638,HARD,2.0,1,27.5,46.5,38.0,1006.9,1.0,226
ALO,49.0,99.949,HARD,2.0,1,27.6,47.0,37.0,1006.9,1.7,191
ALO,50.0,99.584,HARD,2.0,1,27.6,47.0,37.0,1006.9,1.9,190
ALO,51.0,99.29,HARD,2.0,1,27.6,47.0,37.0,1006.9,2.1,36
ALO,52.0,99.261,HARD,2.0,1,27.7,47.1,37.0,1006.9,0.7,329
ALO,53.0,99.729,HARD,2.0,1,27.7,46.9,37.0,1006.8,1.4,319
ALO,54.0,101.67,HARD,2.0,1,27.7,46.9,37.0,1006.8,1.4,248
ALO,55.0,100.096,HARD,2.0,1,27.6,47.0,37.0,1006.8,1.1,198
