Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
TSU,1.0,,MEDIUM,1.0,1,26.0,41.2,50.0,1008.4,1.2,99
TSU,2.0,100.703,MEDIUM,1.0,1,26.0,41.2,49.0,1008.3,1.0,183
TSU,3.0,99.179,MEDIUM,1.0,1,26.1,41.1,49.0,1008.4,1.7,169
TSU,4.0,99.362,MEDIUM,1.0,1,26.2,40.8,49.0,1008.4,2.1,184
TSU,5.0,99.311,MEDIUM,1.0,1,26.4,40.8,50.0,1008.3,1.1,185
TSU,6.0,100.437,MEDIUM,1.0,1,26.4,40.8,50.0,1008.4,1.9,164
TSU,7.0,100.433,MEDIUM,1.0,1,26.3,41.1,49.0,1008.2,2.5,174
TSU,8.0,99.852,MEDIUM,1.0,1,26.3,41.2,49.0,1008.3,2.1,161
TSU,9.0,99.92,MEDIUM,1.0,1,26.1,41.6,49.0,1008.2,1.6,164
TSU,10.0,99.758,MEDIUM,1.0,1,26.1,41.7,49.0,1008.3,1.2,181
TSU,11.0,99.58,MEDIUM,1.0,1,26.1,41.3,49.0,1008.2,1.7,168
TSU,12.0,101.483,MEDIUM,1.0,1,26.1,41.2,49.0,1008.1,1.2,219
TSU,13.0,100.572,MEDIUM,1.0,1,26.2,41.3,49.0,1008.2,0.7,278
TSU,14.0,100.913,MEDIUM,1.0,1,26.4,41.3,49.0,1008.1,0.5,338
TSU,15.0,100.105,MEDIUM,1.0,1,26.5,41.6,48.0,1008.1,0.9,307
TSU,16.0,101.012,MEDIUM,1.0,1,26.5,41.6,48.0,1008.1,1.0,170
TSU,17.0,99.473,MEDIUM,1.0,1,26.5,42.2,49.0,1008.1,2.0,174
TSU,18.0,99.599,MEDIUM,1.0,1,26.6,42.5,49.0,1008.0,1.8,172
TSU,19.0,99.136,MEDIUM,1.0,1,26.6,42.6,48.0,1008.0,0.7,289
