Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
SAI,1.0,,MEDIUM,1.0,1,28.3,37.6,41.0,1002.4,4.0,167
SAI,2.0,94.143,MEDIUM,1.0,1,28.3,37.6,40.0,1002.4,4.2,154
SAI,3.0,131.61,MEDIUM,1.0,1,28.3,37.1,40.0,1002.4,4.9,179
SAI,4.0,129.77,MEDIUM,1.0,1,28.3,37.0,40.0,1002.5,3.6,154
SAI,5.0,94.109,MEDIUM,1.0,1,28.1,36.8,40.0,1002.5,4.1,154
SAI,6.0,127.54,MEDIUM,1.0,1,28.0,36.6,41.0,1002.4,3.8,163
SAI,7.0,,MEDIUM,2.0,1,27.9,36.3,41.0,1002.4,4.3,172
SAI,8.0,93.274,MEDIUM,2.0,1,27.9,35.9,40.0,1002.5,3.2,153
SAI,9.0,121.173,MEDIUM,2.0,1,27.8,35.6,40.0,1002.4,3.4,183
SAI,10.0,,SOFT,3.0,12,27.7,35.0,41.0,1002.4,3.5,158
SAI,11.0,93.089,SOFT,3.0,1,27.6,34.9,41.0,1002.4,3.1,159
SAI,12.0,134.068,SOFT,3.0,1,27.6,34.7,41.0,1002.5,3.2,157
